State,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Foreign Country,year
Nevada,122219,218,"1,565","7,972",835,"41,997","8,064",642,102,63,"5,935",997,"4,441","2,057",970,292,288,639,188,"1,157",0,633,767,"1,035",743,252,891,820,886,N/A,155,"1,077","1,666","2,582","1,072",197,"3,475","1,672","3,604","1,868",0,"1,233",30,600,"5,939","3,776",54,"2,246","5,516",0,853,155,154,27406,2023
New Hampshire,39695,"1,530",103,702,0,"1,718",543,"1,776",0,80,"1,320",321,0,583,95,103,283,118,0,564,"1,604",705,"16,362",136,115,477,0,0,0,35,N/A,395,346,"1,777",273,0,127,371,0,"1,914",333,61,0,586,"1,473",560,"1,890",201,110,0,5,0,84,4987,2023
New Jersey,156335,178,54,"1,140",165,"9,431","2,332","2,483","1,291",639,"9,635","1,865",820,29,"3,183","1,114",42,442,284,935,418,"3,877","4,851",679,354,80,"1,217",114,12,200,102,N/A,187,"55,926","3,461",465,"1,267",906,723,"29,564",660,"2,619",0,611,"4,360",901,302,"3,918","1,456",704,194,145,662,92955,2023
New Mexico,64673,837,345,"3,535",477,"8,126","5,853",305,0,"1,261","1,207","1,110",449,"1,510","1,129",81,276,"1,500",181,"1,443",106,14,577,"1,383",275,4,501,"1,146",325,"1,243",62,641,N/A,184,522,362,"1,216",296,733,678,0,627,323,523,"16,975","1,701",0,530,"3,591",0,304,206,0,12622,2023
New York,302835,"1,389",445,"3,934",649,"31,097","5,110","15,165","1,867","3,271","24,749","8,013","1,615",214,"8,628","1,347","1,184","2,816","2,678","1,574","3,190","8,119","21,001","2,606","1,321",503,"1,433",660,432,"1,844","1,859","40,474",840,N/A,"9,000",18,"7,648",458,"1,157","27,603","2,073","3,192",100,"4,360","18,956","3,081","3,926","11,930","6,261",507,"2,217",321,"3,539",163636,2023
North Carolina,339255,"5,582",606,"6,443",891,"21,084","4,393","4,284","1,745",862,"39,931","23,519","1,927","1,425","5,380","2,819","2,629","4,842","4,783","3,978","1,575","12,649","8,935","5,380","3,030",881,"2,914","1,227",678,"1,907","1,347","9,290","1,152","29,175",N/A,28,"5,637","1,886","1,467","13,040","1,154","31,358",659,"7,905","17,335","3,032",796,"25,555","4,976","2,038","5,106",20,496,63852,2023
North Dakota,34415,"1,019",252,"1,325",0,"1,158","1,389",0,0,0,"1,775",264,0,134,"2,370",0,317,480,0,11,0,440,0,147,"11,738",182,284,"2,032",185,376,0,307,415,572,47,N/A,89,69,229,516,124,0,"2,238",431,"1,823",750,0,0,492,0,302,133,30,7083,2023
Ohio,185341,"1,421",547,"4,352",929,"12,197","3,393","1,361",65,388,"18,740","6,616",330,194,"5,652","12,068","1,051","1,545","11,176","2,475",499,"3,200","2,324","15,795",681,838,"1,600",258,951,712,425,"3,521",704,"6,238","6,930",432,N/A,"1,731","1,471","12,809",26,"3,647",478,"4,671","8,647",551,19,"6,598","4,239","7,856","2,816",174,"1,521",55266,2023
Oklahoma,107679,860,156,"3,093","5,286","10,940","6,786",346,176,105,"3,830","1,796",647,"1,211","1,603","1,572",405,"4,908","1,837","1,031",0,"1,064",413,"2,153",250,931,"2,695",475,"1,035",678,211,561,"1,097","3,401",843,85,"1,261",N/A,710,901,50,"1,013",971,"1,092","31,506",768,120,"3,431","2,329",0,934,113,313,15290,2023
Oregon,125246,642,"3,236","7,144",292,"33,807","6,038",605,0,944,"2,265","1,774","2,050","4,122","1,754","2,151",17,"1,335",173,709,0,260,"2,298",428,255,0,696,"3,017",226,"3,051",0,345,398,"3,818","1,607",78,"2,217",680,N/A,927,230,414,188,"1,088","3,766","5,690",57,998,"22,169",0,"1,036",251,214,23378,2023
